Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort
From 0 to 5;50;6;8;7;7;5;3;1;15;68;3;5;5
From 0 to 5;60;5;11;11;11;6;4;2;4;14;4;6;5
From 0 to 5;70;6;13;13;13;8;5;1;15;16;5;8;7
From 0 to 5;80;8;20;19;20;12;6;1;9;19;5;9;8
From 0 to 5;90;10;23;23;24;14;7;1;9;20;5;10;9
From 0 to 5;100;12;30;30;31;20;8;1;5;22;6;13;10
From 0 to 5;110;14;34;33;34;22;9;1;9;24;7;15;10
From 0 to 5;120;16;40;40;39;25;10;1;9;26;8;17;11
From 0 to 5;130;19;46;45;44;28;11;1;9;29;8;21;13
From 0 to 5;140;22;50;49;49;30;12;1;10;33;9;26;15
From 0 to 5;150;25;57;57;57;38;14;1;10;35;9;25;16
From 0 to 5;160;28;62;60;62;38;14;1;10;36;9;28;16
From 0 to 5;170;31;73;70;72;44;16;1;10;38;10;33;18
From 0 to 5;180;34;85;83;84;54;18;1;10;41;11;33;18
From 0 to 5;190;38;90;89;90;56;21;2;11;43;13;37;20
From 0 to 5;200;42;105;95;96;61;20;2;11;46;12;41;20
From 0 to 5;210;46;117;115;116;79;24;2;11;46;13;46;22
From 0 to 5;220;50;129;125;126;84;25;2;13;50;13;51;23
From 0 to 5;230;54;135;132;134;85;26;2;12;51;14;55;24
From 0 to 5;240;59;149;146;145;93;27;2;14;53;15;58;27
From 0 to 5;250;64;163;158;160;103;30;3;12;54;16;61;27
From 0 to 5;260;69;165;161;162;105;32;2;9;58;17;66;28
From 0 to 5;270;75;190;184;187;121;35;2;15;59;17;69;29
From 0 to 5;280;79;194;187;190;118;34;2;14;63;17;76;30
From 0 to 5;290;105;209;193;196;126;36;2;13;89;19;85;31
From 0 to 5;300;91;211;208;208;129;38;2;14;73;19;91;33
From 1 to 4100;50;4;9;9;9;6;4;25;14;13;4;4;5
From 1 to 4100;60;6;11;12;12;7;4;23;7;13;5;4;7
From 1 to 4100;70;7;17;18;18;12;6;22;8;16;6;5;8
From 1 to 4100;80;9;22;22;22;15;7;22;8;19;7;6;9
From 1 to 4100;90;11;27;27;27;18;8;22;10;21;7;7;10
From 1 to 4100;100;13;33;33;33;21;10;23;9;21;9;7;11
From 1 to 4100;110;16;42;42;43;30;12;23;13;26;9;8;13
From 1 to 4100;120;18;46;46;47;31;13;22;10;27;10;9;15
From 1 to 4100;130;21;50;49;51;33;14;23;10;29;11;11;16
From 1 to 4100;140;23;59;58;60;39;16;23;14;33;12;11;17
From 1 to 4100;150;27;71;71;73;48;18;24;11;38;12;13;18
From 1 to 4100;160;30;75;74;76;48;19;24;11;37;14;13;20
From 1 to 4100;170;33;87;86;86;57;21;22;12;42;15;15;21
From 1 to 4100;180;37;101;101;101;68;24;26;13;43;15;13;23
From 1 to 4100;190;42;104;103;113;67;24;24;16;41;16;16;25
From 1 to 4100;200;46;114;112;115;76;26;25;14;46;18;17;69
From 1 to 4100;210;50;127;128;131;92;28;25;16;50;18;17;27
From 1 to 4100;220;54;145;145;146;99;32;19;15;53;19;20;29
From 1 to 4100;230;59;148;147;168;104;32;27;18;65;21;18;31
