Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort
From 0 to 5;100;12;29;31;29;18;8;1;6;24;6;13;10
From 0 to 5;200;42;111;107;110;71;22;2;8;44;12;41;21
From 0 to 5;300;91;228;222;226;148;41;2;10;69;19;86;32
From 0 to 5;400;159;397;380;380;246;64;3;17;113;26;149;44
From 0 to 5;500;245;626;609;609;411;128;4;31;113;33;225;58
From 0 to 5;600;353;931;894;890;575;129;4;21;136;38;316;75
From 0 to 5;700;475;1243;1198;1185;767;168;4;24;181;46;422;99
From 0 to 5;800;620;1627;1613;1533;998;249;5;28;193;51;540;96
From 0 to 5;900;761;2058;2058;2000;1277;267;6;30;200;58;691;109
From 0 to 5;1000;961;2588;2506;2453;1626;315;6;32;211;68;838;125
From 0 to 5;1100;1161;3106;2986;3039;1879;376;7;54;246;75;1012;139
From 0 to 5;1200;1381;3795;3640;3647;2253;463;7;74;261;114;1361;224
From 0 to 5;1300;1815;4663;4172;4152;2727;497;8;41;294;87;1419;168
From 0 to 5;1400;1871;5196;5027;5155;3021;618;8;42;298;93;2128;177
From 0 to 5;1500;2098;6152;5968;5895;3570;671;9;45;367;99;2222;209
From 0 to 5;1600;2658;7199;7255;7007;4182;755;9;131;340;106;2268;208
From 0 to 5;1700;2708;7846;7655;7733;4464;857;10;51;384;119;2375;227
From 0 to 5;1800;3541;9335;9567;8754;7396;1111;16;102;450;152;2791;263
From 0 to 5;1900;3623;12570;12689;9767;5621;1063;11;56;466;131;2982;316
From 0 to 5;2000;4337;14301;12971;10950;6881;1319;12;59;466;143;3282;269
From 0 to 5;2100;4235;42310;12038;12928;7057;1297;13;63;465;149;3627;289
From 0 to 5;2200;4924;17131;15612;14123;8027;1926;18;90;704;192;4900;380
From 0 to 5;2300;5475;15300;14889;15542;9153;2106;18;98;702;191;5331;317
From 0 to 5;2400;5499;16352;15911;15994;9063;1730;14;71;554;170;4800;364
From 0 to 5;2500;6097;18034;18866;19607;12238;2490;21;78;581;185;5134;346
From 0 to 5;2600;6688;25755;24317;20098;12791;2802;22;123;798;215;6861;426
From 0 to 5;2700;7476;22529;21506;22442;14389;2172;16;78;605;194;5974;379
From 0 to 5;2800;7569;23139;22326;22228;12137;2216;23;86;619;200;6359;398
From 0 to 5;2900;8012;27208;26245;25804;15972;3554;23;88;627;208;6845;409
From 0 to 5;3000;8695;26625;27639;28612;14568;2633;18;89;836;209;7420;417
From 0 to 5;3100;9424;28805;28016;30963;16336;3813;25;142;912;284;8430;467
From 0 to 5;3200;10040;31479;31930;30272;16171;2900;18;95;698;230;8866;449
From 0 to 5;3300;10431;32641;33131;33656;19333;4293;25;132;998;275;10722;514
From 0 to 5;3400;11023;35257;35327;37135;18407;3578;19;98;792;251;10300;483
From 0 to 5;3500;12117;41795;37377;40115;21448;3430;62;140;1092;298;11789;504
