Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort
From 0 to 5;50;7;12;11;10;7;5;1;17;29;5;21;6
From 0 to 5;60;7;20;15;15;9;6;1;9;97;5;8;6
From 0 to 5;70;7;14;19;18;12;6;3;11;26;6;12;8
From 0 to 5;80;10;26;26;24;17;8;1;7;29;6;12;24
From 0 to 5;90;12;33;32;32;21;9;2;8;34;7;14;11
From 0 to 5;100;14;39;39;37;28;10;1;8;36;8;17;12
From 0 to 5;110;16;46;44;44;32;12;2;8;27;7;16;11
From 0 to 5;120;17;40;40;41;27;11;2;7;28;9;19;13
From 0 to 5;130;20;48;46;47;29;12;2;7;28;9;23;14
From 0 to 5;140;28;73;71;70;42;17;2;11;52;12;29;19
From 0 to 5;150;30;79;77;101;51;17;2;22;54;12;51;22
From 0 to 5;160;34;90;87;81;52;18;2;10;52;12;38;21
From 0 to 5;170;35;95;95;91;56;20;2;11;58;14;48;24
From 0 to 5;180;43;128;111;108;73;24;2;11;61;15;44;24
From 0 to 5;190;43;209;132;132;89;28;3;12;66;16;51;25
From 0 to 5;200;96;114;117;97;61;27;3;12;73;16;55;26
From 0 to 5;210;57;168;166;184;113;33;3;12;69;17;60;28
From 0 to 5;220;59;173;174;168;134;35;3;12;79;18;69;29
From 0 to 5;230;63;187;181;203;136;37;4;21;96;15;71;25
From 0 to 5;240;63;155;152;213;150;41;3;28;83;21;78;34
From 0 to 5;250;78;250;241;240;148;40;3;30;70;22;69;35
From 0 to 5;260;75;229;224;212;145;40;3;15;61;25;111;45
From 0 to 5;270;101;299;266;260;192;37;2;10;62;19;70;37
From 0 to 5;280;93;257;220;226;119;34;2;10;62;18;76;31
From 0 to 5;290;86;200;193;201;129;37;2;11;70;22;86;33
From 1 to 4100;50;5;11;11;11;7;4;26;9;16;5;4;6
From 1 to 4100;60;6;15;13;13;8;5;20;8;14;5;4;7
From 1 to 4100;70;7;16;16;17;10;6;28;14;24;8;6;8
From 1 to 4100;80;11;22;25;23;14;9;23;8;20;8;8;10
From 1 to 4100;90;12;26;26;27;17;10;26;13;23;8;7;11
From 1 to 4100;100;14;35;35;48;24;10;22;9;24;8;8;12
From 1 to 4100;110;16;50;40;40;26;12;22;10;26;10;8;14
From 1 to 4100;120;20;48;50;47;30;15;30;11;34;11;11;15
From 1 to 4100;130;21;56;62;57;38;15;22;10;43;12;11;16
From 1 to 4100;140;26;59;59;74;38;16;32;11;34;15;12;18
From 1 to 4100;150;27;83;70;78;47;18;29;12;38;13;13;20
From 1 to 4100;160;31;80;92;81;54;19;29;11;36;14;13;21
From 1 to 4100;170;34;87;87;90;59;22;25;12;39;15;15;22
From 1 to 4100;180;38;97;97;99;65;23;25;15;41;16;15;34
From 1 to 4100;190;42;106;105;107;70;25;25;13;50;17;16;25
From 1 to 4100;200;47;115;116;141;88;27;33;16;69;18;17;27
From 1 to 4100;210;51;134;135;139;119;38;30;26;65;22;20;32
From 1 to 4100;220;61;174;172;170;118;31;30;14;51;21;20;30
From 1 to 4100;230;60;158;296;162;110;43;18;21;70;24;24;36
From 1 to 4100;240;71;201;203;201;139;44;33;22;74;26;26;37
From 1 to 4100;250;77;225;224;233;166;50;32;22;77;25;25;39
From 1 to 4100;260;82;249;247;247;169;51;34;22;80;26;26;40
From 1 to 4100;270;86;259;261;217;147;44;31;16;64;25;26;42
From 1 to 4100;280;87;233;236;237;233;60;36;29;67;30;29;46
From 1 to 4100;290;109;267;257;264;180;51;36;18;69;27;27;41
Almost Sorted;50;5;10;11;10;7;4;17;8;12;4;4;5
Almost Sorted;60;6;13;14;14;9;5;17;8;13;5;4;7
Almost Sorted;70;7;17;17;17;11;6;16;8;16;6;5;8
Almost Sorted;80;9;21;21;23;14;7;16;8;19;7;6;9
Almost Sorted;90;11;24;24;24;14;9;29;9;19;8;7;11
Almost Sorted;100;13;31;31;31;19;9;19;9;22;9;9;12
Almost Sorted;110;16;38;39;40;26;11;23;9;26;10;9;13
Almost Sorted;120;18;46;46;47;30;13;23;10;27;11;10;14
Almost Sorted;130;21;53;53;55;35;14;24;10;30;11;10;16
Almost Sorted;140;24;58;58;59;36;15;23;12;34;14;14;21
Almost Sorted;150;28;66;67;69;44;18;17;11;34;13;12;19
Almost Sorted;160;31;96;80;84;56;20;28;14;47;14;14;20
Almost Sorted;170;34;87;88;89;59;27;29;14;41;16;16;22
Almost Sorted;180;38;99;103;101;69;24;29;12;39;17;16;23
Almost Sorted;190;42;113;112;118;78;26;26;13;41;17;17;25
Almost Sorted;200;46;120;122;125;84;28;29;14;43;18;17;26
Almost Sorted;210;50;133;134;136;92;30;25;13;46;19;19;28
Almost Sorted;220;54;140;138;143;93;31;24;14;48;20;20;29
Almost Sorted;230;60;153;158;163;105;34;27;36;52;22;19;31
Almost Sorted;240;64;166;167;171;112;36;19;15;58;23;21;33
Almost Sorted;250;69;184;180;186;120;46;33;16;58;23;23;35
Almost Sorted;260;75;195;195;201;148;41;29;16;59;25;23;36
Almost Sorted;270;79;215;223;220;148;46;19;16;62;25;23;38
Almost Sorted;280;92;233;232;239;160;47;27;18;63;26;25;39
Almost Sorted;290;91;243;240;244;164;48;29;17;66;28;26;41
Reversed sorted;50;5;10;10;10;6;4;15;8;14;4;4;5
Reversed sorted;60;6;13;73;13;9;5;16;8;14;5;4;7
Reversed sorted;70;8;17;18;18;12;6;17;8;17;6;5;8
Reversed sorted;80;9;21;21;22;18;7;16;8;21;7;7;9
Reversed sorted;90;11;25;26;26;16;8;16;9;23;8;7;12
Reversed sorted;100;14;33;36;42;30;10;24;10;24;10;8;12
Reversed sorted;110;16;39;40;41;26;12;29;10;26;10;9;14
