Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort
From 0 to 5;50;8;16;16;16;9;7;2;20;107;7;9;10
From 0 to 5;60;9;18;18;19;11;11;4;11;26;7;10;9
From 0 to 5;70;11;24;29;36;18;9;2;23;29;8;31;12
From 0 to 5;80;14;72;72;43;42;13;3;18;35;9;17;16
From 0 to 5;90;18;41;41;42;42;13;3;19;54;10;19;16
From 0 to 5;100;22;65;66;64;74;15;3;11;52;11;23;17
From 0 to 5;110;24;69;67;69;52;16;2;25;56;12;41;18
From 0 to 5;120;42;68;66;66;43;21;3;21;60;16;34;23
From 0 to 5;130;37;87;85;96;68;28;4;22;56;16;41;26
From 0 to 5;140;42;95;93;95;57;23;3;20;64;18;43;34
From 0 to 5;150;48;110;109;117;71;27;3;21;72;19;49;31
From 0 to 5;160;54;120;145;124;77;29;4;19;75;20;55;30
From 0 to 5;170;60;149;135;136;85;32;3;22;76;21;63;37
From 0 to 5;180;67;165;159;160;246;81;5;48;166;27;89;57
From 0 to 5;190;74;178;175;177;116;53;4;25;95;57;90;54
From 0 to 5;200;92;191;224;190;124;54;3;20;87;21;81;34
From 0 to 5;210;92;195;194;192;117;41;3;19;94;23;88;58
From 0 to 5;220;96;210;225;231;143;44;3;21;91;23;94;39
From 0 to 5;230;100;223;209;212;146;56;3;21;92;21;100;42
From 0 to 5;240;110;251;233;234;220;42;4;22;102;41;134;56
From 0 to 5;250;96;265;253;258;174;46;3;20;82;24;92;41
From 0 to 5;260;105;274;245;349;207;51;4;32;105;42;136;43
From 0 to 5;270;129;298;293;297;199;72;4;15;148;26;129;61
From 0 to 5;280;120;308;298;302;178;97;4;37;115;27;132;79
From 0 to 5;290;158;370;338;343;214;63;5;26;193;36;158;65
From 1 to 4100;50;28;14;31;36;32;6;34;40;20;7;6;8
From 1 to 4100;60;28;42;22;39;14;29;58;12;59;7;6;10
From 1 to 4100;70;13;29;49;49;17;11;75;13;27;10;10;14
From 1 to 4100;80;30;60;60;57;24;34;91;16;51;33;24;36
From 1 to 4100;90;34;109;85;63;47;31;57;34;54;31;29;36
From 1 to 4100;100;42;81;80;82;60;35;59;39;59;32;31;38
From 1 to 4100;110;29;71;94;80;51;23;46;26;48;20;16;26
From 1 to 4100;120;37;90;90;92;61;25;45;22;52;21;20;27
From 1 to 4100;130;57;121;103;120;88;46;59;21;74;26;22;47
From 1 to 4100;140;61;126;125;124;87;32;59;24;79;27;40;50
From 1 to 4100;150;67;148;148;148;106;51;59;22;62;41;26;34
From 1 to 4100;160;73;162;161;194;118;54;60;21;84;42;42;55
From 1 to 4100;170;79;178;182;183;127;39;59;39;130;45;27;57
