Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;100;22;48;48;49;44;19;3;28;49;13;25;18;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;200;75;180;260;164;152;67;19;20;95;38;90;66;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;300;131;399;538;597;259;61;4;26;190;49;179;51;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;400;239;651;561;588;357;95;5;26;128;42;215;65;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;500;375;1108;910;1011;545;184;5;31;157;45;332;84;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;600;512;1315;1338;1270;852;182;8;50;207;57;665;116;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;700;782;2020;1954;1783;1086;236;6;53;220;85;702;122;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;800;978;2604;2418;2460;1534;342;8;46;282;86;871;156;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;900;1323;3062;2908;2933;1945;408;7;96;240;131;1097;162;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1000;1552;3783;3635;3776;2391;458;10;47;315;98;1333;158;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1100;1660;5413;4437;4283;2868;674;11;97;406;110;1981;261;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1200;1822;6477;5627;4981;3978;762;14;65;427;144;1937;238;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1300;2990;9513;8649;14937;5630;1562;15;99;571;155;16771;296;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1400;3114;9216;9794;11325;7817;1464;21;120;873;209;3197;392;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1500;3716;14147;18576;163220;8106;1718;23;120;928;213;4730;397;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1600;4533;38419;13013;11576;6903;1349;16;83;608;192;3592;366;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1700;4640;16294;16855;17225;10055;2182;27;136;975;262;5313;489;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1800;5618;20209;17029;14191;8709;2835;27;154;1076;273;5370;485;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1900;6418;22740;20792;21575;13558;2734;27;141;977;233;5265;527;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2000;7532;24734;20603;20321;10716;2963;27;144;1054;234;5921;610;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2100;8279;22759;26115;23765;11619;2208;21;102;861;303;7605;579;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2200;8432;26041;111534;86584;17594;4096;24;116;840;260;8503;503;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2300;9512;32985;30995;26021;18076;2625;164;205;1311;329;9065;653;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2400;10183;34806;32525;30807;20088;4173;33;182;1521;383;10071;1131;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2500;10614;37125;48492;40746;22226;3150;25;123;1086;344;8318;578;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2600;11544;39371;30988;31250;18544;3320;26;167;1085;318;9259;615;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2700;11708;37684;35498;34704;20132;4750;52;180;1339;367;11628;614;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2800;12082;40329;38286;37870;18683;3638;22;105;881;300;9926;582;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2900;12559;46951;44304;45150;25383;4081;28;150;1040;341;11503;766;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3000;14293;41498;42950;44218;25496;4308;42;168;1378;310;11439;607;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3100;15976;48789;46205;46544;26154;4609;31;145;1487;473;13203;857;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3200;17505;54202;53204;52323;31547;6815;41;221;1662;472;17290;770;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3300;18003;50357;59905;230810;37203;7370;60;234;1748;499;15880;791;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3400;17794;56876;55565;55044;28648;7472;90;169;1291;463;15706;726;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3500;17889;59851;56257;57779;29663;5095;28;193;1175;463;16590;705;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3600;19233;67784;59508;55665;36534;5965;29;174;1129;519;15676;805;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3700;20319;63569;65495;62377;32064;7251;71;157;1485;722;19976;816;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3800;20944;67160;63619;72516;34758;8536;46;238;1266;397;16301;766;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;3900;23821;74384;65946;67023;33532;5808;62;244;1236;401;17118;952;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;4000;19948;62494;65444;64369;33014;6886;30;143;1197;341;17086;1449;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;100;40;72;74;88;56;19;24;17;78;34;15;21;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;200;102;174;172;284;144;72;68;39;94;46;55;70;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;300;136;370;360;514;216;128;30;23;102;77;35;67;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;400;282;653;654;617;516;258;26;27;157;57;62;131;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;500;534;1134;1007;956;729;164;37;38;165;68;73;107;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;600;527;1655;1305;1514;1362;244;46;43;283;84;83;134;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;700;624;1839;2323;2085;1326;282;64;50;214;89;88;144;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;800;874;2604;2616;2772;2032;743;41;53;244;104;102;301;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;900;1598;2920;3037;3384;2058;410;37;72;311;133;144;226;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1000;1374;4084;4323;3734;2691;575;43;82;293;124;129;309;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1100;1578;4560;5559;4359;3381;673;42;101;316;131;136;299;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1200;1801;5881;6542;6357;4319;834;51;85;403;174;188;296;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1300;2362;7922;6444;6941;3948;1008;57;92;483;173;293;498;;;;;;;;;;;;;;;;;;;;;;;;;;
From 1 to 4100;1400;2582;7488;8810;7976;6080;1106;49;88;531;191;193;318;;;;;;;;;;;;;;;;;;;;;;;;;;
