Mode;size;Selection Sort;Bubble Sort;Bubble Sort Iverson 1;Bubble Sort Iverson 2;Insertion Sort;Binary Insertion Sort;Counting Sort;Radix Sort;Merge Sort;QuickSort Hoare partition;QuickSort Lomuto partition;HeapSort;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;100;12;26;26;56;18;8;1;24;38;6;28;24;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;200;41;102;102;102;66;21;2;8;49;13;44;21;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;300;95;324;317;314;213;57;3;22;107;24;111;42;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;400;182;568;394;397;317;71;4;24;109;26;150;44;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;500;247;622;593;666;382;91;3;22;109;31;225;58;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;600;352;907;867;873;549;125;4;64;137;39;313;71;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;700;491;1278;1230;1231;773;169;5;25;159;45;427;86;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;800;619;1608;1583;1549;980;210;5;29;176;53;542;98;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;900;784;2758;2679;2685;1756;387;9;35;199;59;708;112;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1000;967;3731;3374;3059;1533;356;6;33;219;68;875;125;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1100;1285;3171;3246;4014;2614;604;11;38;257;75;1038;139;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1200;1383;3789;4453;4099;2254;478;7;40;277;83;1201;153;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1300;1615;4470;4299;5524;3576;768;13;68;305;106;1617;208;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1400;2122;6247;6329;6835;4205;757;9;44;314;97;1639;184;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1500;2173;6222;6846;6164;4408;814;9;45;323;109;1978;208;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1600;2421;8375;7147;8636;4265;820;10;71;844;147;3734;267;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1700;3461;12845;10951;12468;53621;1435;11;63;663;129;3472;349;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1800;4071;12384;11865;13427;8565;2769;17;123;840;177;4162;245;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;1900;4080;13755;13283;11668;7293;1085;12;57;418;153;3371;316;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2000;4458;12233;13174;14973;8273;1743;16;87;620;162;33116;285;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2100;4643;14487;13261;12631;6928;1808;14;63;468;144;3641;296;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2200;4867;15379;13747;13557;9410;1986;19;99;675;180;4661;312;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2300;5071;15289;15044;15240;10073;1590;13;73;534;165;4302;314;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2400;5893;17404;16770;16456;111057;2165;20;108;756;197;4822;394;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2500;6294;18978;18765;20121;11694;2243;21;118;792;216;6187;356;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2600;6638;22889;19264;19813;10876;2364;21;112;872;260;6720;420;;;;;;;;;;;;;;;;;;;;;;;;;;
From 0 to 5;2700;7323;23324;22925;23196;14387;2757;22;117;1249;281;7663;536;;;;;;;;;;;;;;;;;;;;;;;;;;
